country_name,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,4.38,4.98,0.63,2.3,5.44,5.06,13.71,9.1,
Albania,1.3,2,2,1.4,1.6,2,6.7,4.8,4
Algeria,6.4,5.6,4.3,2,2.4,7.2,9.3,9,6.8
Andorra,-0.4,2.6,1,0.5,0.1,1.7,6.2,5.2,3.5
Angola,30.7,29.8,19.6,17.1,22.3,25.8,21.4,13.1,22.3
Antigua and Barbuda,-0.5,2.4,1.2,1.4,1.1,1.6,7.5,5,2.9
Argentina,,25.7,34.3,53.5,42,48.4,72.4,121.7,93.7
Armenia,-1.4,1.2,2.5,1.4,1.2,7.2,8.6,3.5,4
Aruba,-0.9,-1,3.6,3.9,-1.3,0.7,5.5,4.5,2.3
Australia,1.3,2,1.9,1.6,0.9,2.8,6.6,5.8,4
Austria,1,2.2,2.1,1.5,1.4,2.8,8.6,7.8,3.7
Azerbaijan,12.4,12.9,2.3,2.6,2.8,6.7,13.9,10.3,5.6
"Bahamas, The",-0.3,1.5,2.3,2.5,0,2.9,5.6,3.9,3.2
Bahrain,2.8,1.4,2.1,1,-2.3,-0.6,3.6,1,1.4
Bangladesh,5.9,5.4,5.8,5.5,5.6,5.6,6.1,9,7.9
Barbados,1.5,4.4,-44.4,2.3,0.5,1.5,5,5.2,3.1
Belarus,11.8,6,4.9,5.6,5.5,9.5,15.2,4.7,5.7
Belgium,1.8,2.2,2.3,1.3,0.4,3.2,10.3,2.5,4.3
Belize,0.7,1.1,0.3,0.2,0.1,3.2,6.3,3.7,1.7
Benin,-0.8,1.8,0.8,-0.9,3,1.7,1.4,5,2.5
Bhutan,3.3,4.3,3.7,2.8,3,8.2,5.9,5.2,4.4
Bolivia,3.6,2.8,2.3,1.8,0.9,0.7,1.7,3,4.4
Bosnia and Herzegovina,-1.6,0.8,1.4,0.6,-1.1,2,14,5.5,3
Botswana,2.8,3.3,3.2,2.7,1.9,6.7,12.2,5.9,4.7
Brazil,8.7,3.4,3.7,3.7,3.2,8.3,9.3,4.7,4.5
Brunei Darussalam,-0.3,-1.3,1,-0.4,1.9,1.7,3.7,1.7,1.5
Bulgaria,-1.3,1.2,2.6,2.5,1.2,2.8,13,8.5,3
Burkina Faso,0.4,1.5,2,-3.2,1.9,3.9,14.1,1.4,3
Burundi,5.5,16.6,-2.8,-0.7,7.3,8.3,18.9,20.1,16.1
Cabo Verde,-1.4,0.8,1.3,1.1,0.6,1.9,7.9,5.2,2
Cambodia,3,2.9,2.5,1.9,2.9,2.9,5.3,2,3
Cameroon,0.9,0.6,1.1,2.5,2.5,2.3,6.3,7.2,4.8
Canada,1.4,1.6,2.3,1.9,0.7,3.4,6.8,3.6,2.4
Central African Republic,4.9,4.2,1.6,2.8,0.9,4.3,5.8,6.5,3.2
Chad,-1.6,-0.9,4,-1,4.5,-0.8,5.8,7,3.5
Chile,3.8,2.2,2.3,2.2,3,4.5,11.6,7.8,3.6
"China, People's Republic of",2.1,1.5,1.9,2.9,2.5,0.9,1.9,0.7,1.7
Colombia,7.5,4.3,3.2,3.5,2.5,3.5,10.2,11.4,5.2
Comoros,0.8,0.1,1.7,3.7,0.8,0,12.4,11.1,1.2
"Congo, Dem. Rep. of the",3.2,35.7,29.3,4.7,11.4,9,9.3,19.1,10.6
"Congo, Republic of ",3.2,0.4,1.2,0.4,1.4,2,3,3.5,3.2
Costa Rica,0,1.6,2.2,2.1,0.7,1.7,8.3,0.7,1.9
Croatia,-0.6,1.3,1.6,0.8,0,2.7,10.7,8.6,4.2
Cyprus,-1.2,0.7,0.8,0.6,-1.1,2.2,8.1,3.5,2.4
Czech Republic,0.7,2.5,2.1,2.8,3.2,3.8,15.1,10.9,4.6
Côte d'Ivoire,0.6,0.6,0.6,0.8,2.4,4.2,5.2,4.3,2.3
Denmark,0,1.1,0.7,0.7,0.3,1.9,8.5,4.1,2.8
Djibouti,2.7,0.6,0.1,3.3,1.8,1.2,5.2,1.2,1.8
