Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,class
Control,High Value,240.5483589,300.0075675,74.68476651,,No,1
Treatment,High Value,246.8621142,381.3375545,100,100,Yes,1
Control,High Value,156.9780845,179.3304635,98.78073493,100,No,1
Control,Medium Value,192.1267083,229.2780311,49.33376568,39.81184103,Yes,1
,High Value,229.6856225,,83.97485224,87.73859146,Yes,1
Treatment,,135.5730031,218.5599879,58.07534156,69.4049177,No,1
Control,High Value,191.7139175,222.4093563,89.96782704,85.12097519,Yes,1
Control,Low Value,173.752555,213.1682319,66.98471068,67.88155831,,1
,High Value,208.3085772,248.1788297,95.36666991,84.79029369,Yes,1
Treatment,High Value,235.0714932,352.7568721,72.91985146,70.7532251,No,1
Control,Low Value,139.9315393,170.2383962,59.84476558,,Yes,1
Control,High Value,,333.0649724,74.38393901,67.94240256,,1
Control,,211.8349368,254.8439122,,87.60154445,Yes,1
Control,High Value,217.7760133,259.9896244,100,100,Yes,1
,Medium Value,173.1834455,284.9242994,81.94912049,,No,1
Control,Low Value,188.3389625,232.5824858,53.45882198,63.4672245,Yes,1
Treatment,,306.7014523,485.1354245,77.43166165,78.36128221,,1
Treatment,Low Value,164.6363191,242.3219339,50.55733694,63.47724521,No,1
Treatment,,151.7338691,231.6154279,51.64879271,,Yes,1
Control,Low Value,136.6363153,162.7193515,50.29607851,46.96473643,Yes,1
Treatment,High Value,225.1631649,355.2104511,,95.05431689,No,1
Control,High Value,215.2826142,264.2998633,83.27203259,100,Yes,1
Treatment,Low Value,182.990785,277.891566,51.35488358,64.40241351,No,1
Treatment,Medium Value,216.7521262,342.6431039,,68.33514145,Yes,1
Treatment,Low Value,193.3651517,293.1838118,57.82708352,62.87584819,No,1
Treatment,Medium Value,199.8974827,317.3884361,74.92718784,75.32867379,No,1
Treatment,Low Value,263.2041451,,56.31138503,45.33645803,Yes,1
Treatment,Low Value,213.2222877,341.4281557,45.39979304,46.47630106,No,1
Treatment,Low Value,128.7666316,202.578297,54.96175661,42.65810995,No,1
Treatment,High Value,134.0175103,205.5408433,,86.28785873,Yes,1
Control,Medium Value,162.7869472,197.0942672,64.78195876,71.75744554,Yes,1
Control,Medium Value,,256.7950583,72.49876467,,No,1
Treatment,Low Value,145.4048689,226.8527581,59.25262599,53.19109377,No,1
Treatment,High Value,,132.2872221,39.42157094,100,No,1
,High Value,226.6438579,355.9844588,79.27226736,,No,1
Control,Medium Value,177.4821282,211.2971535,69.5147959,71.92052708,No,1
Treatment,High Value,109.2668218,,99.23269996,100,Yes,1
,Medium Value,203.8462203,243.7668889,39.33142355,,Yes,1
,Medium Value,236.3506389,278.0196706,70.28976369,73.61401738,Yes,1
Control,,,177.5542372,,83.77448967,No,1
Control,,228.0030106,,92.36207576,97.45070766,Yes,1
Control,,145.7984305,,68.48512943,62.93528172,Yes,1
,Medium Value,169.7758798,255.3552668,79.39828893,100,Yes,1
Treatment,Low Value,201.2568828,297.5883433,,76,No,1
Treatment,Medium Value,233.9696099,366.828606,67.70828315,78.12757291,Yes,1
Treatment,,236.5959032,377.3724479,62.02675645,40.83754741,No,1
Treatment,,189.7336858,304.5056465,55.38874554,62.8034623,No,1
Control,Low Value,242.918748,296.4995523,50.37416819,,No,1
Treatment,High Value,189.2961911,293.1901573,86.76226901,100,Yes,1
