citric acid,free sulfur dioxide,density,pH,alcohol,quality
0,11,0.9978,3.51,9.4,5
0,25,0.9968,3.2,9.8,5
0.04,15,0.997,3.26,9.8,5
0.56,17,0.998,3.16,9.8,6
0,11,0.9978,3.51,9.4,5
0,13,0.9978,3.51,9.4,5
0.06,15,0.9964,3.3,9.4,5
0,15,0.9946,3.39,10,7
0.02,9,0.9968,3.36,9.5,7
0.36,17,0.9978,3.35,10.5,5
0.08,15,0.9959,3.28,9.2,5
0.36,17,0.9978,3.35,10.5,5
0,16,0.9943,3.58,9.9,5
0.29,9,0.9974,3.26,9.1,5
0.18,52,0.9986,3.16,9.2,5
0.19,51,0.9986,3.17,9.2,5
0.56,35,0.9969,3.3,10.5,7
0.28,16,0.9968,3.11,9.3,5
0.08,6,0.9974,3.38,9,4
0.51,17,0.9969,3.04,9.2,6
0.48,29,0.9968,3.39,9.4,6
0.31,23,0.9982,3.52,9.7,5
0.21,10,0.9966,3.17,9.5,5
0.11,9,0.9968,3.17,9.4,5
0.14,21,0.9968,3.43,9.7,6
0.16,11,0.9955,3.34,9.3,5
0.24,4,0.9962,3.28,9.5,5
0.21,10,0.9966,3.17,9.5,5
0,14,0.9972,3.47,9.4,5
0,8,0.9964,3.38,9.8,6
0.07,17,0.9958,3.35,10.1,5
0,22,0.9966,3.46,10.6,6
0.12,15,0.9966,3.17,9.8,5
0.12,40,0.9993,3.45,9.4,6
0.25,13,0.9957,3.38,9.2,5
0,5,0.9986,3.4,9.6,6
0.14,3,0.9975,3.42,10.8,6
0.28,13,0.9968,3.23,9.7,7
0.09,7,0.994,3.5,9.8,4
0.36,12,0.9978,3.33,10.5,5
0.36,12,0.9978,3.33,10.5,5
0.3,17,0.9976,3.26,9.3,4
0.2,8,0.9968,3.21,10.5,6
0.22,9,0.9968,3.3,10.3,5
0.02,5,0.9962,3.48,9.5,5
0.15,8,0.9934,3.9,13.1,4
0.43,22,0.997,3.25,9.2,5
0.52,12,0.9969,3.25,9.5,5
0.23,5,0.9958,3.34,9.2,5
0.37,12,0.9954,3.32,9.2,5
0.26,4,0.9971,3.15,9.2,5
0.04,8,0.9956,3.4,9.4,6
0.04,6,0.9955,3.39,9.4,6
0.36,30,0.997,3.2,9.4,5
0.15,33,0.9955,3.17,10.2,6
0.04,25,0.9978,3.34,9.5,5
0.57,4,0.9971,3.04,9.6,5
0.12,50,0.9983,3.26,9.4,5
0.18,17,0.9975,3.43,10,5
0.31,9,0.9962,3.41,9.4,6
0.4,19,0.998,3.44,9.2,5
0.49,20,0.9968,3.21,9.3,5
0.16,12,0.9968,3.38,9.5,7
0.05,13,0.9966,3.39,9.8,5
0.05,4,0.9962,3.41,10.9,5
0.05,4,0.9962,3.41,10.9,5
0.11,11,0.9968,3.42,9.6,5
0.07,6,0.9962,3.44,10.7,5
0.57,27,0.9969,3.28,10.7,5
0.05,8,0.9962,3.34,10.5,6
0.08,15,0.9967,3.32,9.5,6
0.23,17,0.9962,3.32,9.5,5
0.22,18,0.9961,3.31,9.5,5
0.26,11,0.9976,3.31,9.2,4
0.54,28,0.9984,3.28,9.6,5
0.64,9,0.9986,3.54,10.5,5
0.64,9,0.9986,3.54,10.5,5
0,14,0.9966,3.52,10.7,6
0.12,12,0.9958,3.38,10.1,5
0.2,27,0.9972,3.16,9.1,4
0.2,3,0.9958,3.41,9.2,5
0.7,22,0.9974,3.13,9.4,5
0.47,21,0.997,3.36,9.1,5
0.26,16,0.9969,3.16,9.4,5
0.48,18,0.9959,3.44,10.3,6
0.15,19,0.9961,3.41,10.1,5
0.28,20,0.9972,2.93,9.9,6
0.26,9,0.9966,3.39,9.6,5
0.44,34,0.9978,3.14,9.5,5
0.08,8,0.9978,3.48,9,5
0.26,42,0.9964,3.23,9.5,5
0.28,20,0.9972,2.93,9.9,6
0.29,19,0.9972,2.93,9.8,5
0.26,9,0.9966,3.39,9.6,5
0.04,41,0.9938,3.75,10.5,4
0.17,17,0.9932,3.85,12.9,6
0,8,0.9965,3.45,10.7,5
0.25,3,0.9963,3.25,9.2,5
0.06,5,0.9967,3.39,9.8,5
0.18,13,0.9972,3.3,9,6
0.3,11,0.9972,3.4,10.2,6
0.3,8,0.9959,3.31,10.4,6
0.18,13,0.9972,3.3,9,6
0.22,12,0.9967,3.29,9.2,5
0.24,5,0.996,3.33,9.4,5
0.22,12,0.9967,3.29,9.2,5
0.68,18,0.9973,3.08,9.3,5
0.31,15,0.9969,3.46,9.3,5
0.53,18,0.9976,3.37,9.6,6
0.52,37,0.9969,3.21,9.3,5
0.19,12,0.9964,3.19,9.5,5
0.09,11,0.9964,3.15,9.8,5
0.1,14,0.9964,3.15,9.8,5
0.44,22,0.9988,3.32,9.7,6
0.19,12,0.9964,3.19,9.5,5
0.31,13,0.9966,3.07,10.5,6
0.28,11,0.9978,3.39,10,6
0.12,7,0.997,3.37,9.4,6
0.04,14,0.9962,3.21,10.9,6
0.08,22,0.9959,3.34,9.2,6
0.09,10,0.9962,3.3,9,5
0.04,14,0.9962,3.21,10.9,6
0,3,0.998,3.49,9.2,5
0,11,0.9976,3.44,9.5,5
0.17,21,0.996,3.39,9.5,5
0.04,27,0.9984,3.16,9.4,5
0,3,0.9964,3.53,10.9,5
0,3,0.9964,3.54,10.9,5
